0,0 
1,0 
2,0 
2,1 
2,2 
0,0 
0,1 
0,2 
1,2 
2,2 
0,0 
0,1 
0,2 
0,3 
1,3 
2,3 
3,3 
3,4 
3,5 
3,6 
2,6 
1,6 
1,7 
1,8 
1,9 
1,10 
2,10 
3,10 
4,10 
5,10 
5,9 
5,8 
5,7 
5,6 
5,5 
5,4 
5,3 
5,2 
5,1 
5,0 
6,0 
7,0 
8,0 
9,0 
10,0 
10,1 
10,2 
10,3 
10,4 
10,5 
10,6 
9,6 
8,6 
8,7 
8,8 
7,8 
7,9 
7,10 
7,11 
7,12 
7,13 
6,13 
5,13 
5,14 
5,15 
5,16 
5,17 
5,18 
5,19 
6,19 
7,19 
8,19 
9,19 
10,19 
11,19 
12,19 
12,18 
12,17 
12,16 
12,15 
12,14 
12,13 
12,12 
12,11 
12,10 
12,9 
13,9 
14,9 
15,9 
15,8 
15,7 
15,6 
15,5 
14,5 
13,5 
12,5 
12,4 
12,3 
12,2 
12,1 
13,1 
14,1 
15,1 
16,1 
17,1 
17,2 
17,3 
17,4 
17,5 
18,5 
19,5 
19,6 
19,7 
19,8 
19,9 
19,10 
19,11 
19,12 
18,12 
17,12 
16,12 
16,13 
16,14 
16,15 
17,15 
18,15 
18,16 
18,17 
18,18 
18,19 
19,19 
0,0 
1,0 
2,0 
2,1 
2,2 
0,0 
0,1 
0,2 
1,2 
2,2 
0,0 
0,1 
0,2 
0,3 
1,3 
2,3 
3,3 
3,4 
3,5 
3,6 
2,6 
1,6 
1,7 
1,8 
1,9 
1,10 
2,10 
3,10 
4,10 
5,10 
5,9 
5,8 
5,7 
5,6 
5,5 
5,4 
5,3 
5,2 
5,1 
5,0 
6,0 
7,0 
8,0 
9,0 
10,0 
10,1 
10,2 
10,3 
10,4 
10,5 
10,6 
9,6 
8,6 
8,7 
8,8 
7,8 
7,9 
7,10 
7,11 
7,12 
7,13 
6,13 
5,13 
5,14 
5,15 
5,16 
5,17 
5,18 
5,19 
6,19 
7,19 
8,19 
9,19 
10,19 
11,19 
12,19 
12,18 
12,17 
12,16 
12,15 
12,14 
12,13 
12,12 
12,11 
12,10 
12,9 
13,9 
14,9 
15,9 
15,8 
15,7 
15,6 
15,5 
14,5 
13,5 
12,5 
12,4 
12,3 
12,2 
12,1 
13,1 
14,1 
15,1 
16,1 
17,1 
17,2 
17,3 
17,4 
17,5 
18,5 
19,5 
19,6 
19,7 
19,8 
19,9 
19,10 
19,11 
19,12 
18,12 
17,12 
16,12 
16,13 
16,14 
16,15 
17,15 
18,15 
18,16 
18,17 
18,18 
18,19 
19,19 
